"","item","regular_price","silver_price","gold_price","iridium_price","profession","category","sub_category","growth_time","general_store","jojamart","oasis_price"
"35","Corn",55,68,82,110,"tiller","crop","Fall Crop",14,150,187,NA
"36","Cranberries",75,93,112,150,"none","crop","Fall Crop",NA,NA,NA,NA
"37","Cranberries",82,102,123,165,"tiller","crop","Fall Crop",NA,NA,NA,NA
"38","Crystal_Fruit",150,187,225,300,"none","crop","Special Crop",NA,NA,NA,NA
"39","Eggplant",60,75,90,120,"none","crop","Fall Crop",5,20,25,NA
"40","Eggplant",66,82,99,132,"tiller","crop","Fall Crop",5,20,25,NA
"41","Fairy_Rose",290,362,435,580,"none","crop","Fall Crop",12,200,250,NA
"42","Fairy_Rose",319,398,478,638,"tiller","crop","Fall Crop",12,200,250,NA
"43","Fiddlehead_Fern",90,112,135,180,"none","crop","Special Crop",NA,NA,NA,NA
"44","Fiddlehead_Fern",99,123,148,198,"tiller","crop","Special Crop",NA,NA,NA,NA
"45","Garlic",60,75,90,120,"none","crop","Spring Crop",4,40,NA,NA
"46","Garlic",66,82,99,132,"tiller","crop","Spring Crop",4,40,NA,NA
"47","Grape",80,100,120,160,"none","crop","Fall Crop",10,60,75,NA
"48","Grape",88,110,132,176,"none","crop","Fall Crop",10,60,75,NA
"49","Green_Bean",40,50,60,80,"none","crop","Spring Crop",10,60,75,NA
"50","Green_Bean",44,55,66,88,"tiller","crop","Spring Crop",10,60,75,NA
"51","Hops",25,31,37,50,"none","crop","Summer Crop",11,60,75,NA
"52","Hops",27,34,40,55,"tiller","crop","Summer Crop",11,60,75,NA
"53","Hot_Pepper",40,50,60,80,"none","crop","Summer Crop",5,40,50,NA
"54","Hot_Pepper",44,55,66,88,"tiller","crop","Summer Crop",5,40,50,NA
"55","Kale",110,137,165,220,"none","crop","Spring Crop",6,70,87,NA
"56","Kale",121,150,181,242,"tiller","crop","Spring Crop",6,70,87,NA
"57","Mango",130,162,195,260,"none","crop","Special Crop",28,NA,NA,NA
"58","Mango",143,178,214,286,"tiller","crop","Special Crop",28,NA,NA,NA
"59","Melon",250,312,375,500,"none","crop","Summer Crop",12,80,100,NA
"60","Melon",275,343,412,550,"tiller","crop","Summer Crop",12,80,100,NA
"61","Orange",100,125,150,200,"none","crop","Special Crop",28,4000,NA,NA
"62","Orange",110,137,165,220,"tiller","crop","Special Crop",28,4000,NA,NA
"63","Parsnip",35,43,52,70,"none","crop","Spring Crop",4,20,25,NA
"64","Parsnip",38,47,57,77,"tiller","crop","Spring Crop",4,20,25,NA
"65","Peach",140,175,210,280,"none","crop","Special Crop",28,6000,NA,NA
"66","Peach",154,192,231,308,"tiller","crop","Special Crop",28,6000,NA,NA
"67","Pineapple",300,375,450,600,"none","crop","Special Crop",14,NA,NA,NA
"68","Pineapple",330,412,495,660,"tiller","crop","Special Crop",14,NA,NA,NA
"69","Pomegranate",140,175,210,280,"none","crop","Special Crop",28,6000,NA,NA
"70","Pomegranate",154,192,231,308,"tiller","crop","Special Crop",28,6000,NA,NA
"71","Poppy",140,175,210,280,"none","crop","Summer Crop",7,100,125,NA
"72","Poppy",154,192,231,308,"tiller","crop","Summer Crop",7,100,125,NA
"73","Potato",80,100,120,160,"none","crop","Spring Crop",6,50,62,NA
"74","Potato",88,110,132,176,"tiller","crop","Spring Crop",6,50,62,NA
"75","Powdermelon",60,75,90,120,"none","crop","Winter Crop",7,NA,NA,NA
"76","Powdermelon",66,82,99,132,"tiller","crop","Winter Crop",7,NA,NA,NA
"77","Pumpkin",320,400,480,640,"none","crop","Fall Crop",13,100,125,NA
"78","Pumpkin",352,440,528,704,"tiller","crop","Fall Crop",13,100,125,NA
"79","Qi_Fruit",1,NA,NA,NA,"none","crop","Special Crop",4,NA,NA,NA
"80","Qi_Fruit",1,NA,NA,NA,"none","crop","Special Crop",4,NA,NA,NA
"81","Radish",90,112,135,180,"none","crop","Summer Crop",6,40,50,NA
"82","Radish",99,123,148,198,"tiller","crop","Summer Crop",6,40,50,NA
"83","Red_Cabbage",260,325,390,520,"none","crop","Summer Crop",9,100,NA,NA
"84","Red_Cabbage",286,357,429,572,"tiller","crop","Summer Crop",9,100,NA,NA
"85","Rhubarb",220,275,330,440,"none","crop","Spring Crop",13,NA,NA,100
"86","Rhubarb",242,302,363,484,"tiller","crop","Spring Crop",13,NA,NA,100
"87","Spice_Berry",80,100,120,160,"none","crop","Special Crop",NA,NA,NA,NA
"88","Starfruit",750,937,1125,1500,"none","crop","Summer Crop",13,NA,NA,400
"89","Starfruit",825,1030,1237,1650,"tiller","crop","Summer Crop",13,NA,NA,400
"90","Strawberry",120,150,180,240,"none","crop","Spring Crop",8,NA,NA,NA
"91","Strawberry",132,165,198,264,"tiller","crop","Spring Crop",8,NA,NA,NA
"92","Summer_Spangle",90,112,135,180,"none","crop","Summer Crop",8,50,62,NA
"93","Summer_Spangle",99,123,148,198,"tiller","crop","Summer Crop",8,50,62,NA
"94","Summer_Squash",45,56,67,90,"none","crop","Summer Crop",6,NA,NA,NA
"95","Summer_Squash",49,61,73,99,"tiller","crop","Summer Crop",6,NA,NA,NA
"96","Sunflower",80,100,120,160,"none","crop","Summer Crop",8,200,125,NA
"97","Sunflower",80,100,120,160,"none","crop","Fall Crop",8,200,125,NA
"98","Sunflower",88,110,132,176,"tiller","crop","Summer Crop",8,200,125,NA
"99","Sunflower",88,110,132,176,"tiller","crop","Fall Crop",8,200,125,NA
"100","Taro_Root",100,125,150,200,"none","crop","Special Crop",10,NA,NA,NA
"101","Taro_Root",110,137,165,220,"tiller","crop","Special Crop",10,NA,NA,NA
"102","Tea_Leaves",50,NA,NA,NA,"none","crop","Special Crop",20,NA,NA,NA
"103","Tea_Leaves",55,NA,NA,NA,"none","crop","Special Crop",20,NA,NA,NA
"104","Tomato",60,75,90,120,"none","crop","Summer Crop",11,50,62,NA
"105","Tomato",66,82,99,132,"tiller","crop","Summer Crop",11,50,62,NA
"106","Tulip",30,37,45,60,"none","crop","Spring Crop",6,20,25,NA
"107","Tulip",33,40,49,66,"tiller","crop","Spring Crop",6,20,25,NA
"108","Unmilled_Rice",30,37,45,60,"none","crop","Spring Crop",8,40,NA,NA
"109","Unmilled_Rice",33,40,49,66,"tiller","crop","Spring Crop",8,40,NA,NA
"110","Wheat",25,31,37,50,"none","crop","Summer Crop",4,10,12,NA
"111","Wheat",25,31,37,50,"none","crop","Fall Crop",4,10,12,NA
"112","Wheat",27,34,40,55,"tiller","crop","Summer Crop",4,10,12,NA
"113","Wheat",27,34,40,55,"tiller","crop","Fall Crop",4,10,12,NA
"114","Wild_Plum",80,100,120,160,"none","crop","Special Crop",NA,NA,NA,NA
"115","Yam",160,200,240,320,"none","crop","Fall Crop",10,60,75,NA
"116","Yam",176,220,264,352,"tiller","crop","Fall Crop",10,60,75,NA
